Fonte de Recursos,Despesa,Liquidado,
002 - RECURSOS VINCULADOS ESTADUAIS,31900124 - COMPLEMENTACAO DE APOSENTADORIA,"          26.763.829,35",
002 - RECURSOS VINCULADOS ESTADUAIS,31900125 - COMPLEMENTACAO DE APOSENTADORIA - 13∫SALARIO,"           1.807.061,73",
002 - RECURSOS VINCULADOS ESTADUAIS,31900311 - PENSIONISTAS-PODER EXECUTIVO-RPPS,"         194.157.151,08",
002 - RECURSOS VINCULADOS ESTADUAIS,31900314 - PENSIONISTAS-OUTROS PODERES-RPPS,"         166.203.125,43",
002 - RECURSOS VINCULADOS ESTADUAIS,31900325 - COMPLEMENTACAO DE PENSAO,"             152.809,58",
002 - RECURSOS VINCULADOS ESTADUAIS,31900326 - COMPLEMENTACAO DE PENSAO - 13∫ SALARIO,"               8.204,36",
002 - RECURSOS VINCULADOS ESTADUAIS,31900701 - CONTRIBUICAO PATRONAL,"             580.955,17",
002 - RECURSOS VINCULADOS ESTADUAIS,31901112 - PESSOAL CIVIL PAGO PELA UNIDADE,"         299.421.562,19",
002 - RECURSOS VINCULADOS ESTADUAIS,31901129 - PESSOAL CIVIL PAGO PELA UNIDADE-13 SALARIO,"          21.612.406,99",
002 - RECURSOS VINCULADOS ESTADUAIS,31901131 - PESSOAL CIVIL PAGO PELA UNIDADE-1/3 FERIAS,"           7.835.517,20",
002 - RECURSOS VINCULADOS ESTADUAIS,31901136 - ABONO DE PERMANENCIA,"             155.811,94",
002 - RECURSOS VINCULADOS ESTADUAIS,31901137 - LICENCA PREMIO - PESSOAL CIVIL,"           8.334.777,17",
002 - RECURSOS VINCULADOS ESTADUAIS,31901313 - FUNDO DE GARANTIA POR TEMPO DE SERVICO,"           2.345.886,12",
002 - RECURSOS VINCULADOS ESTADUAIS,31901320 - OUTRAS CONTRIB.PREV.SOCIAL-13 SALARIO,"                 965,36",
002 - RECURSOS VINCULADOS ESTADUAIS,31901321 - FGTS-13 SALARIO,"             174.457,78",
002 - RECURSOS VINCULADOS ESTADUAIS,31901322 - PARCELAM.DE DEBITOS JUNTO A PREV.SOCIAL,"             102.880,11",
002 - RECURSOS VINCULADOS ESTADUAIS,31901323 - PREVIDENCIA SOCIAL/PESSOAL CLT,"           7.912.164,11",
002 - RECURSOS VINCULADOS ESTADUAIS,31901324 - PREVIDENCIA SOCIAL/PESSOAL COMISSIONADO,"           1.294.049,33",
002 - RECURSOS VINCULADOS ESTADUAIS,31901613 - HORA EXTRA,"             189.250,82",
002 - RECURSOS VINCULADOS ESTADUAIS,31909412 - INDENIZ.POR DEMISSAO DE SERVID.OU EMPREG.,"             967.915,32",
002 - RECURSOS VINCULADOS ESTADUAIS,31911301 - CONTRIB PATRONAL-SAO PAULO PREVIDENCIA-SPPRE,"         111.396.370,84",
002 - RECURSOS VINCULADOS ESTADUAIS,33204102 - TRANSFERENCIAS,"          59.696.014,80",
002 - RECURSOS VINCULADOS ESTADUAIS,33403001 - TRANSF.PARA MATERIAL DE CONSUMO,"           2.772.100,96",
002 - RECURSOS VINCULADOS ESTADUAIS,33403901 - TRANSFERENCIAS PARA SERVICOS,"          31.092.095,78",
002 - RECURSOS VINCULADOS ESTADUAIS,33408110 - TRANSFERENCIA A MUNICIPIOS-ICMS,"      37.092.224.874,89",
002 - RECURSOS VINCULADOS ESTADUAIS,33408120 - TRANSFERENCIA A MUNICIPIOS-IPVA,"       8.439.018.603,27",
002 - RECURSOS VINCULADOS ESTADUAIS,33408150 - TRANSFERENCIA A MUNICIPIOS-IPI,"         267.592.840,93",
002 - RECURSOS VINCULADOS ESTADUAIS,33408160 - TRANSFERENCIA A MUNICIPIOS-OUTRAS RECEITAS,"         175.957.042,79",
002 - RECURSOS VINCULADOS ESTADUAIS,33503977 - CONVENIOS C/ENTID.PRIVADAS S/FINS LUCRATIVOS,"           7.334.488,64",
002 - RECURSOS VINCULADOS ESTADUAIS,33504376 - SUBVENCOES A ENTIDADES DE SAUDE,"          17.620.861,92",
002 - RECURSOS VINCULADOS ESTADUAIS,33900810 - AUXILIO-CRECHE E AUXILIO-ESCOLA,"             150.000,00",
002 - RECURSOS VINCULADOS ESTADUAIS,33901401 - DIARIAS PESSOAL CIVIL,"          33.004.907,59",
002 - RECURSOS VINCULADOS ESTADUAIS,33901504 - PGTO.DESEMP.ATIVIDADE DELEGADA-CONV.EST./PRE,"          43.133.917,25",
002 - RECURSOS VINCULADOS ESTADUAIS,33903010 - GENEROS ALIMENTICIOS,"           3.957.234,88",
002 - RECURSOS VINCULADOS ESTADUAIS,"33903012 - MATERIAL DE CAMA, MESA E BANHO","               8.178,50",
002 - RECURSOS VINCULADOS ESTADUAIS,"33903013 - MATERIAL E UTENS.P/REFEITORIO,COPA E COZINHA","           1.028.159,20",
002 - RECURSOS VINCULADOS ESTADUAIS,33903014 - MATERIAL DE LIMPEZA,"             141.127,82",
002 - RECURSOS VINCULADOS ESTADUAIS,33903015 - ARTIGOS DE HIGIENE PESSOAL,"           5.773.992,90",
002 - RECURSOS VINCULADOS ESTADUAIS,33903016 - MATERIAL DE ACONDICIONAMENTO E EMBALAGEM,"              72.304,04",
002 - RECURSOS VINCULADOS ESTADUAIS,33903019 - LUBRIFICANTE AUTOMOTIVO,"              70.303,70",
002 - RECURSOS VINCULADOS ESTADUAIS,33903021 - GASOLINA AUTOMOTIVA,"             355.668,17",
002 - RECURSOS VINCULADOS ESTADUAIS,33903022 - DIESEL AUTOMOTIVO,"             142.488,05",
002 - RECURSOS VINCULADOS ESTADUAIS,33903023 - ETANOL AUTOMOTIVO,"             101.754,62",
002 - RECURSOS VINCULADOS ESTADUAIS,33903024 - OUTROS COMBUSTIVEIS E LUBRIFICANTES,"              63.751,85",
002 - RECURSOS VINCULADOS ESTADUAIS,33903025 - GASOLINA AUTOMOTIVA-REEMBOLSO,"           1.515.109,59",
002 - RECURSOS VINCULADOS ESTADUAIS,33903027 - ETANOL AUTOMOTIVO-REEMBOLSO,"           2.000.000,00",
002 - RECURSOS VINCULADOS ESTADUAIS,33903030 - MEDICAMENTOS E INSUMOS FARMACEUTICOS,"             895.132,30",
002 - RECURSOS VINCULADOS ESTADUAIS,"33903031 - MATERIAL MEDICO,HOSPITALAR E ODONTOLOGICO","              68.234,86",
002 - RECURSOS VINCULADOS ESTADUAIS,33903032 - MATERIAL DE USO LABORATORIAL,"           1.451.785,72",
002 - RECURSOS VINCULADOS ESTADUAIS,33903034 - MATERIAL DE USO VETERINARIO,"               2.616,72",
002 - RECURSOS VINCULADOS ESTADUAIS,33903039 - MATERIAL ESPORTIVO E DE LAZER,"              75.400,00",
002 - RECURSOS VINCULADOS ESTADUAIS,33903040 - MATERIAL EDUCATIVO E CULTURAL,"              35.266,54",
002 - RECURSOS VINCULADOS ESTADUAIS,33903041 - MATERIAL DE ESCRITORIO PAPELARIA E IMPRESSOS,"          10.572.186,45",
002 - RECURSOS VINCULADOS ESTADUAIS,33903042 - MATERIAL PARA FOTOGRAFIA E FILMAGEM,"               4.109,45",
002 - RECURSOS VINCULADOS ESTADUAIS,"33903043 - LIVROS P/BIBLIO.PUBLI,MAPAS,OUTRAS PUBLICACA","               3.250,00",
002 - RECURSOS VINCULADOS ESTADUAIS,33903050 - PECAS DE REPOSICAO E ACESSORIOS,"           5.918.960,82",
002 - RECURSOS VINCULADOS ESTADUAIS,33903051 - FERRAM.AVULSAS NAO ACION.P/FORCA MOTRIZ,"              16.176,64",
002 - RECURSOS VINCULADOS ESTADUAIS,33903052 - MATERIAL P/ CONSERVACAO E MANUT. DE IMOVEIS,"             835.698,35",
002 - RECURSOS VINCULADOS ESTADUAIS,33903053 - PECAS E ACESSORIOS PARA VIATURAS POLICIAIS,"           3.199.233,26",
002 - RECURSOS VINCULADOS ESTADUAIS,33903054 - MATERIAL INSTALACAO ELETRICA E ELETRONICA,"              49.829,59",
002 - RECURSOS VINCULADOS ESTADUAIS,33903055 - MATERIAL PARA TELECOMUNICACOES,"              74.720,86",
002 - RECURSOS VINCULADOS ESTADUAIS,33903060 - MATERIAIS E SUPRIMENTOS DE INFORMATICA,"           1.556.291,09",
002 - RECURSOS VINCULADOS ESTADUAIS,33903061 - PECAS E ACESSOR.E COMPONENTES DE INFORMATICA,"             552.339,79",
002 - RECURSOS VINCULADOS ESTADUAIS,"33903063 - FARDAMENTO,VESTUARIO,UNIFOR,TECIDO, AVIAMENT","             740.076,00",
002 - RECURSOS VINCULADOS ESTADUAIS,33903064 - PECAS P/VIATURAS PELO REGIME DE ADIANTAMENTO,"           1.590.804,05",
002 - RECURSOS VINCULADOS ESTADUAIS,33903066 - MATERIAL PROT.SEGUR.SOCORRO E SOBREVIVENCIA,"             469.499,69",
002 - RECURSOS VINCULADOS ESTADUAIS,33903090 - OUTROS MATERIAIS DE CONSUMO,"           2.961.771,75",
002 - RECURSOS VINCULADOS ESTADUAIS,33903342 - PASSAGENS AEREAS        EXERCICIO ANTERIOR.,"             367.879,08",
002 - RECURSOS VINCULADOS ESTADUAIS,"33903343 - LOCACAO DE VEICULOS,AERONAVES E OUTROS","           5.830.291,99",
002 - RECURSOS VINCULADOS ESTADUAIS,33903344 - VALE-TRANSPORTE,"             647.492,43",
002 - RECURSOS VINCULADOS ESTADUAIS,33903345 - OUTRAS DESP.C/TRANSPORTES E LOCOMOCAO,"             197.743,50",
002 - RECURSOS VINCULADOS ESTADUAIS,33903350 - LOCOMOÁ„O DE SERV.POR MEIO DE APLIC.DE TRANS,"                 108,07",
002 - RECURSOS VINCULADOS ESTADUAIS,"33903501 - OUTROS SERV.CONSULTORIA,ASSESS.E AUDITORIA","           4.097.752,46",
002 - RECURSOS VINCULADOS ESTADUAIS,33903509 - CONSULTORIA TECNO.DA IMFORMAC„O-PJ,"           1.288.973,15",
002 - RECURSOS VINCULADOS ESTADUAIS,33903603 - CONDOMINIO,"              13.200,00",
002 - RECURSOS VINCULADOS ESTADUAIS,33903611 - OUTRAS REMUNERACOES DE SERVICOS PESSOAIS,"           1.454.943,12",
002 - RECURSOS VINCULADOS ESTADUAIS,33903612 - ENCARGOS SOCIAIS E OBRIGACOES FISCAIS,"          40.046.330,90",
002 - RECURSOS VINCULADOS ESTADUAIS,33903613 - ESTAGIARIOS DIRETAMENTE CONTRATADOS,"          22.659.761,35",
002 - RECURSOS VINCULADOS ESTADUAIS,33903619 - HONORARIOS ADVOCAT. ASSIST. JUDICIARIA COMPL,"         199.189.812,97",
002 - RECURSOS VINCULADOS ESTADUAIS,"33903625 - CURSOS, PALESTRAS","               7.200,00",
002 - RECURSOS VINCULADOS ESTADUAIS,33903691 - LOCACAO DE IMOVEIS,"           8.590.659,12",
002 - RECURSOS VINCULADOS ESTADUAIS,33903795 - SERVICOS DE VIGILANCIA,"          67.257.274,70",
002 - RECURSOS VINCULADOS ESTADUAIS,33903796 - SERVICOS DE LIMPEZA,"         127.604.595,44",
002 - RECURSOS VINCULADOS ESTADUAIS,33903799 - OUTROS SERVICOS,"           1.441.271,15",
002 - RECURSOS VINCULADOS ESTADUAIS,33903903 - CONDOMINIOS,"           3.839.465,49",
002 - RECURSOS VINCULADOS ESTADUAIS,33903906 - VALE-REFEICAO/ALIMENT. A SERV/EMPREGADOS,"           9.005.575,40",
002 - RECURSOS VINCULADOS ESTADUAIS,33903914 - EXAMES LABORATORIAIS,"                 545,01",
002 - RECURSOS VINCULADOS ESTADUAIS,33903915 - LOC.DE MAQ. REPROGRAFICAS S/MAO DE OBRA,"           2.376.834,44",
002 - RECURSOS VINCULADOS ESTADUAIS,33903918 - PROPAGANDA/PUBLICIDADE,"          25.617.146,87",
002 - RECURSOS VINCULADOS ESTADUAIS,33903919 - LOCACAO DE MAQUINAS E EQUIPAMENTOS DIVERSOS,"             388.685,25",
002 - RECURSOS VINCULADOS ESTADUAIS,33903922 - LOC.MAQ.REPROGAFICAS C/MAO DE OBRA,"           1.684.832,06",
002 - RECURSOS VINCULADOS ESTADUAIS,33903925 - SERVICOS DE CORREIOS,"          83.534.123,27",
002 - RECURSOS VINCULADOS ESTADUAIS,33903926 - PUBLICIDADE LEGAL,"              69.225,55",
002 - RECURSOS VINCULADOS ESTADUAIS,33903927 - GERENCIAMENTO DE ABASTECIMENTO DE COMBUSTIVE,"             281.879,82",
002 - RECURSOS VINCULADOS ESTADUAIS,"33903936 - DEDETIZACAO,DESINSETIZACAO E DESRATIZACAO","              45.717,61",
002 - RECURSOS VINCULADOS ESTADUAIS,33903940 - FRETES E TRANSPORTES,"             325.933,13",
002 - RECURSOS VINCULADOS ESTADUAIS,33903941 - SERVICO DE LAVANDERIA,"               4.900,98",
002 - RECURSOS VINCULADOS ESTADUAIS,33903942 - SEGURO DE VIDA,"             334.857,31",
002 - RECURSOS VINCULADOS ESTADUAIS,"33903943 - ASSIN.DE JORNAIS,PERIODICOS E CLIPAGEM","              31.643,88",
002 - RECURSOS VINCULADOS ESTADUAIS,33903944 - SEGURO DE VEICULO,"               7.881,41",
002 - RECURSOS VINCULADOS ESTADUAIS,33903945 - OUTROS SEGUROS,"              22.345,40",
002 - RECURSOS VINCULADOS ESTADUAIS,"33903946 - SERVICOS MEDICOS,HOSPITALARES E ODONTOLOGICO","           9.559.475,83",
002 - RECURSOS VINCULADOS ESTADUAIS,33903949 - ESTAGIARIOS CONTRATADOS POR INSTITUICOES,"           5.397.281,65",
002 - RECURSOS VINCULADOS ESTADUAIS,"33903953 - PROJ.OU PESQ.DE CIENCIA,TECNOLOGIA E INOVACA","               6.205,74",
002 - RECURSOS VINCULADOS ESTADUAIS,"33903954 - CONGRESSOS,SEMINARIOS,SIMPOSIOS E CONGENERES","               7.900,00",
002 - RECURSOS VINCULADOS ESTADUAIS,33903956 - ALIMEN.HOSPED.P/EVENTOS PROG.PELA INSTITUICA,"              99.228,50",
002 - RECURSOS VINCULADOS ESTADUAIS,33903957 - SERVICOS/APRESENTACOES ARTISTICAS E CULTURAI,"              34.000,00",
002 - RECURSOS VINCULADOS ESTADUAIS,"33903958 - AUDIO,VIDEO,FOTO E PROJECAO","              19.349,98",
002 - RECURSOS VINCULADOS ESTADUAIS,33903961 - CONTRATACAO DE CURSOS PARA SERVIDOR PUBLICO,"              10.260,00",
002 - RECURSOS VINCULADOS ESTADUAIS,"33903963 - INSTAL.REPAR.MANUT.DIVI,PORTAS,CORT,PERS.AFI","             380.511,51",
002 - RECURSOS VINCULADOS ESTADUAIS,"33903965 - SERVICOS DE COPA, COPEIRAGEM","             184.324,32",
002 - RECURSOS VINCULADOS ESTADUAIS,33903973 - FORNEC.ALIMENTACAO PREPARADA-DEMAIS SERV.PUB,"              74.972,80",
002 - RECURSOS VINCULADOS ESTADUAIS,33903978 - MANUTENCAO DE VIATURAS ESCOLTA DE CUSTODIADO,"              34.429,26",
002 - RECURSOS VINCULADOS ESTADUAIS,33903979 - CONSERVACAO E MANUTENCAO DE IMOVEIS,"           1.295.997,45",
002 - RECURSOS VINCULADOS ESTADUAIS,33903980 - CONSERV.MANUTENC.DE BENS MOVEIS E EQUIPAMENT,"          24.411.912,24",
002 - RECURSOS VINCULADOS ESTADUAIS,33903981 - REFORMAS DE IMOVEIS_INCL.INSTAL.HIDRA.E ELET,"           2.133.170,76",
002 - RECURSOS VINCULADOS ESTADUAIS,33903982 - CONSERV.ESTRADAS E OUTROS BENS DE DOM.PUBLIC,"         121.813.682,44",
002 - RECURSOS VINCULADOS ESTADUAIS,33903983 - SERVICOS GRAFICOS,"             732.149,92",
002 - RECURSOS VINCULADOS ESTADUAIS,33903985 - SERVICO DE MANUTENCAO DE VIATURAS POLICIAIS,"          37.422.671,11",
002 - RECURSOS VINCULADOS ESTADUAIS,33903988 - HONORARIOS ADVOCAT. ASSIST. JUDICIARIA COMPL,"           1.961.800,49",
002 - RECURSOS VINCULADOS ESTADUAIS,33903991 - LOCACAO DE IMOVEIS,"          16.714.335,18",
002 - RECURSOS VINCULADOS ESTADUAIS,33903992 - DESPESAS MIUDAS E DE PRONTO PAGAMENTO,"             851.470,01",
002 - RECURSOS VINCULADOS ESTADUAIS,33903995 - MANUTENCAO DE VIATURAS PELO REG.ADIANTAMENTO,"           1.657.903,72",
002 - RECURSOS VINCULADOS ESTADUAIS,33903999 - OUTROS SERVICOS DE TERCEIROS,"         484.037.873,06",
002 - RECURSOS VINCULADOS ESTADUAIS,33904007 - MANUTENÁ„O DE SOFTWARE,"             124.335,88",
002 - RECURSOS VINCULADOS ESTADUAIS,33904009 - DESENVOLVIMENTO DE SOFTWARE,"           8.738.753,60",
002 - RECURSOS VINCULADOS ESTADUAIS,33904010 - ATUALIZ.OU AQUIS.LICENÁA E CESS„O DE SOFTWAR,"          48.688.128,65",
002 - RECURSOS VINCULADOS ESTADUAIS,33904011 - SUPORTE DE INFRAESTRUTURA,"           5.256.207,94",
002 - RECURSOS VINCULADOS ESTADUAIS,33904012 - SUPORTE A USU·RIOS DE TI,"          41.038.679,09",
002 - RECURSOS VINCULADOS ESTADUAIS,33904013 - HOSPEDAGEM DE SISTEMAS,"           5.664.483,70",
002 - RECURSOS VINCULADOS ESTADUAIS,33904014 - LOCAÁ„O DE EQUIPAMENTOS DE TI,"           1.841.326,97",
002 - RECURSOS VINCULADOS ESTADUAIS,33904015 - MANUTENÁ„O DE EQUIPAMENTOS DE TI,"          16.432.480,11",
002 - RECURSOS VINCULADOS ESTADUAIS,33904016 - COMUNICAÁ„O DE DADOS,"           7.783.458,90",
002 - RECURSOS VINCULADOS ESTADUAIS,33904018 - SALA COFRE,"           1.086.956,14",
002 - RECURSOS VINCULADOS ESTADUAIS,33904019 - SERVIÁOS DE DIGITAÁ„O E PREPARAÁ„O DE DADOS,"             818.798,88",
002 - RECURSOS VINCULADOS ESTADUAIS,33904020 - SERVIÁOS DE TELEFONIA DE VOZ SOBRE IP,"              26.571,20",
002 - RECURSOS VINCULADOS ESTADUAIS,33904090 - SERVIÁOS DE TECNOLOGIA DA INFORMAÁ„O,"         327.454.877,28",
002 - RECURSOS VINCULADOS ESTADUAIS,33904113 - CONTRIBUICOES A AUTARQUIAS E FUNDACOES,"          21.000.220,88",
002 - RECURSOS VINCULADOS ESTADUAIS,33904601 - AUXILIO - ALIMENTACAO,"          14.119.950,17",
002 - RECURSOS VINCULADOS ESTADUAIS,33904710 - CONTRIBUICOES P/FORMACAO DO PASEP/PIS,"          25.519.712,27",
002 - RECURSOS VINCULADOS ESTADUAIS,33904713 - IPTU,"             455.470,82",
002 - RECURSOS VINCULADOS ESTADUAIS,33904718 - TAXA DE LIMPEZA PUBLICA,"               2.154,24",
002 - RECURSOS VINCULADOS ESTADUAIS,33904720 - OUTRAS OBRIGACOES TRIBUTARIAS E CONTRIBUTIVA,"           2.247.395,92",
002 - RECURSOS VINCULADOS ESTADUAIS,33904901 - AUXILIO - TRANSPORTE,"           1.982.453,25",
002 - RECURSOS VINCULADOS ESTADUAIS,33905011 - ENERGIA ELETRICA,"           8.077.091,62",
002 - RECURSOS VINCULADOS ESTADUAIS,33905012 - TELEFONIA FIXA,"           3.359.952,31",
002 - RECURSOS VINCULADOS ESTADUAIS,33905013 - AGUA E ESGOTOS,"           1.705.587,32",
002 - RECURSOS VINCULADOS ESTADUAIS,33905014 - GAS ENCANADO,"               2.488,34",
002 - RECURSOS VINCULADOS ESTADUAIS,33905015 - OUTROS SERVICOS DE UTILIDADE PUBLICA,"               1.273,20",
002 - RECURSOS VINCULADOS ESTADUAIS,33905017 - TELEFONIA MOVEL CELULAR,"             255.084,64",
002 - RECURSOS VINCULADOS ESTADUAIS,33909214 - LIMPEZA,"           1.135.631,20",
002 - RECURSOS VINCULADOS ESTADUAIS,33909215 - VIGILANCIA,"             459.588,21",
002 - RECURSOS VINCULADOS ESTADUAIS,33909220 - OUTRAS DESPESAS DE EXERCICIOS ANTERIORES,"           2.201.521,11",
002 - RECURSOS VINCULADOS ESTADUAIS,33909221 - DIARIAS,"               4.968,56",
002 - RECURSOS VINCULADOS ESTADUAIS,33909301 - INDENIZACOES E RESTITUICOES DIVERSAS,"             683.837,78",
002 - RECURSOS VINCULADOS ESTADUAIS,33909308 - RESSARCIMENTO ASSISTENCIA MEDICA/ODONTOLOGIC,"              20.171,74",
002 - RECURSOS VINCULADOS ESTADUAIS,33909317 - INDENIZACAO TERMOS DECR.40.177/95 E ALT.POST,"             319.290,77",
002 - RECURSOS VINCULADOS ESTADUAIS,33909320 - CUSTEIO DILIGENCIAS DOS OFIC.DE JUSTICA,"         201.090.691,40",
002 - RECURSOS VINCULADOS ESTADUAIS,44405101 - TRANSFERENCIAS A MUNICIPIOS-OBRAS,"          12.766.599,92",
002 - RECURSOS VINCULADOS ESTADUAIS,44405201 - TRANSF.A MUNICIPIOS-EQUIP.MATER.PERMANENTE,"           5.912.908,30",
002 - RECURSOS VINCULADOS ESTADUAIS,44904061 - MELHORIA DE EQUIPAMENTO DE TI,"              50.000,00",
002 - RECURSOS VINCULADOS ESTADUAIS,44904062 - AQUISIÁ„O DE SOFTWARE,"           4.243.344,22",
002 - RECURSOS VINCULADOS ESTADUAIS,44904201 - AUXILIOS PARA DESPESAS DE CAPITAL,"         227.032.493,95",
002 - RECURSOS VINCULADOS ESTADUAIS,44905110 - ESTUDOS E PROJETOS,"             961.767,99",
002 - RECURSOS VINCULADOS ESTADUAIS,44905111 - GERENCIAMENTO DE OBRAS,"             167.908,35",
002 - RECURSOS VINCULADOS ESTADUAIS,44905130 - EXECUCAO DE OBRAS E INSTALACOES,"          11.198.664,67",
002 - RECURSOS VINCULADOS ESTADUAIS,44905131 - DESAPROPRIACOES,"          11.741.271,78",
002 - RECURSOS VINCULADOS ESTADUAIS,44905210 - VEICULOS DIVERSOS,"             393.581,02",
002 - RECURSOS VINCULADOS ESTADUAIS,44905220 - EQUIPAMENTOS DE TECNOLOGIA DA INFORMAC„O,"          15.761.435,26",
002 - RECURSOS VINCULADOS ESTADUAIS,44905232 - MOBILIARIO EM GERAL,"           6.980.809,64",
002 - RECURSOS VINCULADOS ESTADUAIS,44905234 - OUTROS EQUIPAMENTOS E MATERIAL PERMANENTE,"           4.705.175,28",
002 - RECURSOS VINCULADOS ESTADUAIS,"44905235 - EQUIP.E MOBIL.MED.-HOSPITALAR,ODONTOLOGICO","               2.628,00",
002 - RECURSOS VINCULADOS ESTADUAIS,44909301 - INDENIZACOES E RESTITUICOES DIVERSAS,"              33.752,31",
002 - RECURSOS VINCULADOS ESTADUAIS,45906630 - EMPRESTIMOS E FINANCIAMENTOS DIVERSOS,"             828.802,16",
003 - RECURSOS VINCULADOS-FUNDO ESPECIAL DE DESPES,31900119 - ATRASADOS-OUTROS PODERES/MINIST.PUBLICO,"          95.365.297,42",
003 - RECURSOS VINCULADOS-FUNDO ESPECIAL DE DESPES,31901112 - PESSOAL CIVIL PAGO PELA UNIDADE,"           1.471.938,04",
003 - RECURSOS VINCULADOS-FUNDO ESPECIAL DE DESPES,31901129 - PESSOAL CIVIL PAGO PELA UNIDADE-13 SALARIO,"             107.487,61",
003 - RECURSOS VINCULADOS-FUNDO ESPECIAL DE DESPES,31901131 - PESSOAL CIVIL PAGO PELA UNIDADE-1/3 FERIAS,"              49.382,20",
003 - RECURSOS VINCULADOS-FUNDO ESPECIAL DE DESPES,31901133 - VENCITOS.ATRASADOS-OUTR.PODERES E MINIST.PUB,"          38.822.370,94",
003 - RECURSOS VINCULADOS-FUNDO ESPECIAL DE DESPES,31901313 - FUNDO DE GARANTIA POR TEMPO DE SERVICO,"             119.499,67",
003 - RECURSOS VINCULADOS-FUNDO ESPECIAL DE DESPES,31901323 - PREVIDENCIA SOCIAL/PESSOAL CLT,"             364.086,79",
003 - RECURSOS VINCULADOS-FUNDO ESPECIAL DE DESPES,31901611 - VERBA HONORARIA,"          55.315.253,09",
003 - RECURSOS VINCULADOS-FUNDO ESPECIAL DE DESPES,31901612 - VERBA HONORARIA-13 SALARIO,"             166.341,10",
003 - RECURSOS VINCULADOS-FUNDO ESPECIAL DE DESPES,31909416 - OUTRAS INDENIZACOES DE PESSOAL,"         130.494.204,90",
003 - RECURSOS VINCULADOS-FUNDO ESPECIAL DE DESPES,31909434 - REEMB.FERIAS-OUTRO PODER E MIN.PUBL.-ATIVOS,"         686.698.244,43",
003 - RECURSOS VINCULADOS-FUNDO ESPECIAL DE DESPES,31909435 - REMB.FERIAS-OUTRO PODER E MIN.PUBLI-INATIVOS,"          51.308.060,64",
003 - RECURSOS VINCULADOS-FUNDO ESPECIAL DE DESPES,33403001 - TRANSF.PARA MATERIAL DE CONSUMO,"             102.272,25",
003 - RECURSOS VINCULADOS-FUNDO ESPECIAL DE DESPES,33403901 - TRANSFERENCIAS PARA SERVICOS,"           4.904.716,53",
003 - RECURSOS VINCULADOS-FUNDO ESPECIAL DE DESPES,33413999 - OUTROS SERVICOS DE TERCEIROS,"          45.508.175,53",
003 - RECURSOS VINCULADOS-FUNDO ESPECIAL DE DESPES,33504105 - CONTRIB.APM LIQUID. DEB.TRAB. LEI 14.689,"             134.248,23",
003 - RECURSOS VINCULADOS-FUNDO ESPECIAL DE DESPES,33504374 - CONV.C/UNIV.E FACULD.S/FINS LUCRATIVOS,"           2.168.988,77",
003 - RECURSOS VINCULADOS-FUNDO ESPECIAL DE DESPES,33504379 - CONVENIOS COM ORGANIZACOES SOCIAIS,"          42.887.792,79",
003 - RECURSOS VINCULADOS-FUNDO ESPECIAL DE DESPES,33504381 - TERMO DE COLABORACAO COM ORGS.SOCIEDADE CIVI,"           2.879.450,54",
003 - RECURSOS VINCULADOS-FUNDO ESPECIAL DE DESPES,33504390 - OUTRAS SUBVENCOES SOCIAIS,"          10.492.457,39",
003 - RECURSOS VINCULADOS-FUNDO ESPECIAL DE DESPES,33900810 - AUXILIO-CRECHE E AUXILIO-ESCOLA,"          11.340.657,00",
003 - RECURSOS VINCULADOS-FUNDO ESPECIAL DE DESPES,33900841 - AUXILIO FUNERAL - OUTROS PODERES,"             696.027,88",
003 - RECURSOS VINCULADOS-FUNDO ESPECIAL DE DESPES,33900844 - AUXILIO FUNERAL - OUTROS PODERES - INATIVOS,"           3.716.789,91",
003 - RECURSOS VINCULADOS-FUNDO ESPECIAL DE DESPES,33900846 - AUXILIO SAUDE - OUTROS PODERES,"         166.487.448,00",
003 - RECURSOS VINCULADOS-FUNDO ESPECIAL DE DESPES,33901401 - DIARIAS PESSOAL CIVIL,"           7.203.589,37",
003 - RECURSOS VINCULADOS-FUNDO ESPECIAL DE DESPES,33901416 - DIARIAS NO EXTERIOR,"              47.566,09",
003 - RECURSOS VINCULADOS-FUNDO ESPECIAL DE DESPES,33901501 - DIARIAS PESSOAL MILITAR,"             187.936,79",
003 - RECURSOS VINCULADOS-FUNDO ESPECIAL DE DESPES,33901503 - DIARIA ESP JORN EXT TRAB POL. MILITAR-DEJEM,"          18.974.991,78",
003 - RECURSOS VINCULADOS-FUNDO ESPECIAL DE DESPES,33902001 - AUXILIO FINAN.A PESQUISADORES-PESQ.INDIVIDUA,"             380.127,36",
003 - RECURSOS VINCULADOS-FUNDO ESPECIAL DE DESPES,33903010 - GENEROS ALIMENTICIOS,"           9.437.623,77",
003 - RECURSOS VINCULADOS-FUNDO ESPECIAL DE DESPES,"33903012 - MATERIAL DE CAMA, MESA E BANHO","              77.380,10",
003 - RECURSOS VINCULADOS-FUNDO ESPECIAL DE DESPES,"33903013 - MATERIAL E UTENS.P/REFEITORIO,COPA E COZINHA","             778.741,93",
003 - RECURSOS VINCULADOS-FUNDO ESPECIAL DE DESPES,33903014 - MATERIAL DE LIMPEZA,"             393.033,31",
003 - RECURSOS VINCULADOS-FUNDO ESPECIAL DE DESPES,33903015 - ARTIGOS DE HIGIENE PESSOAL,"           3.026.634,66",
